Name,MILLICOM INTL CELU. 2003 10% 01/12/13 144A S - GROSSPRICE
Code,37413V(GP)
28/11/2007,96.0555
29/11/2007,96.0833
30/11/2007,96.1111
3/12/2007,96.1389
4/12/2007,96.1666
5/12/2007,96.25
6/12/2007,96.2778
7/12/2007,96.3055
10/12/2007,96.3333
11/12/2007,96.3611
12/12/2007,96.4444
13/12/2007,96.4722
14/12/2007,96.5
17/12/2007,96.5278
18/12/2007,96.5555
19/12/2007,96.6389
20/12/2007,96.6666
21/12/2007,96.6944
24/12/2007,96.7222
25/12/2007,96.75
26/12/2007,96.8055
27/12/2007,96.8333
28/12/2007,96.8611
31/12/2007,96.8889
1/01/2008,96.9166
2/01/2008,97
3/01/2008,97.0278
4/01/2008,97.0555
7/01/2008,97.0833
8/01/2008,97.1111
9/01/2008,97.1944
10/01/2008,97.2222
11/01/2008,97.25
14/01/2008,97.2778
15/01/2008,97.3055
16/01/2008,97.3889
17/01/2008,97.4166
18/01/2008,97.4444
21/01/2008,97.4722
22/01/2008,97.5
23/01/2008,97.5833
24/01/2008,97.6111
25/01/2008,97.6389
28/01/2008,97.6389
29/01/2008,97.6666
30/01/2008,97.75
31/01/2008,97.7778
1/02/2008,97.8055
4/02/2008,97.8333
5/02/2008,97.8611
6/02/2008,97.9444
7/02/2008,97.9722
8/02/2008,98
11/02/2008,98.0278
12/02/2008,98.0555
13/02/2008,98.1389
14/02/2008,98.1666
15/02/2008,98.1944
18/02/2008,98.2222
19/02/2008,98.25
20/02/2008,98.3333
21/02/2008,98.3611
22/02/2008,98.3889
25/02/2008,98.4166
26/02/2008,98.4444
27/02/2008,98.5555
28/02/2008,98.5833
29/02/2008,98.6111
3/03/2008,98.6389
4/03/2008,98.6666
5/03/2008,98.75
6/03/2008,98.7778
7/03/2008,98.8055
10/03/2008,98.8333
11/03/2008,98.8611
12/03/2008,98.9444
13/03/2008,98.9722
14/03/2008,99
17/03/2008,99.0278
18/03/2008,99.0555
19/03/2008,99.1389
20/03/2008,99.1666
21/03/2008,99.1944
24/03/2008,99.2222
25/03/2008,99.25
26/03/2008,99.3055
27/03/2008,99.3333
28/03/2008,99.3611
31/03/2008,99.3889
1/04/2008,99.4166
2/04/2008,99.5
3/04/2008,99.5278
4/04/2008,99.5555
